csv,LINK,lang,attribution_url,attribution_name,license,file_name,download_from
kmlfile.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kmlfile,http://linkdata.org/work/rdf1s3122i
jishinkansoku_fukuiken.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0107jishinkansoku_fukuiken,http://linkdata.org/work/rdf1s2650i
ippankaikeisainyuu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1203ippankaikeisainyuuuchiwake,http://linkdata.org/work/rdf1s4369i
hoikuen.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,hoikuen,http://linkdata.org/work/rdf1s1575i
suidoukouji.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,suidoukouji,http://linkdata.org/work/rdf1s1661i
kouyuzaisan.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1207kouyuzaisan,http://linkdata.org/work/rdf1s4372i
kokutaimap.csv,,,,,,,
haigukankei.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0205haigukankei,http://linkdata.org/work/rdf1s2659i
hokousyajitensyadou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,hokousyajitensyadou,http://linkdata.org/work/rdf1s1757i
AED.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,AED,http://linkdata.org/work/rdf1s1573i
shinaihaisuisetsubi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,shinaihaisuisetsubishiteikoujiten,http://linkdata.org/work/rdf1s1658i
toshikeikakukuikijinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0208toshikeikakukuikijinkou,http://linkdata.org/work/rdf1s2655i
landscape.csv,,ja,http://www.city.echizen.lg.jp/,越前市,http://creativecommons.org/licenses/by/3.0/deed.ja,landscape,http://linkdata.org/work/rdf1s1570i
echizenshigikai.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,echizenshigikaiiinippansenkyo,http://linkdata.org/work/rdf1s1670i
gomicn.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gomicn,http://linkdata.org/work/rdf1s1578i
1101toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1101toukeinenkan,
gomisyusyubi.csv,,ja,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gomisyusyubi,http://linkdata.org/work/rdf1s1581i
